"COL0","COL1"
"5350232.00",540.00
"5350233.00",1245.00
"5350234.00",1430.00
"5350235.01",615.00
"5350235.02",1445.00
"5350236.01",2510.00
"5350236.02",1640.00
"5350237.01",4850.00
"5350237.02",1055.00
"5350237.03",2125.00
"5350238.01",455.00
"5350238.02",2495.00
"5350239.00",3140.00
"5350240.01",385.00
"5350240.02",1270.00
"5350241.00",495.00
"5350242.00",980.00
"5350243.01",5390.00
"5350243.02",2105.00
"5350244.01",3675.00
"5350244.02",2690.00
"5350245.00",3755.00
"5350246.00",1610.00
"5350247.01",7735.00
"5350247.02",4300.00
"5350248.02",4800.00
"5350248.03",2345.00
"5350248.04",4255.00
"5350248.05",3325.00
"5350249.01",3750.00
"5350249.03",4985.00
"5350249.04",2805.00
"5350249.05",4900.00
"5350250.01",3665.00
"5350250.02",2845.00
"5350250.04",5760.00
"5350250.05",6440.00
"5350260.01",5525.00
"5350260.04",3370.00
"5350260.05",2900.00
"5350260.06",2865.00
"5350260.07",2560.00
"5350261.00",3675.00
"5350262.01",3220.00
"5350262.02",3260.00
"5350263.02",1125.00
"5350263.03",2295.00
"5350263.04",3140.00
"5350264.00",510.00
"5350265.00",1170.00
"5350266.00",1085.00
"5350267.00",3725.00
"5350268.00",2415.00
"5350269.01",3540.00
"5350269.02",1160.00
"5350270.01",2375.00
"5350270.02",1640.00
"5350271.01",1060.00
"5350271.02",2360.00
"5350272.01",4280.00
"5350272.02",2660.00
"5350273.01",1845.00
"5350273.02",2275.00
"5350274.01",2595.00
"5350274.02",2225.00
"5350275.00",1140.00
"5350276.01",1365.00
"5350276.02",1625.00
"5350277.00",715.00
"5350278.00",1410.00
"5350279.01",1270.00
"5350279.02",3010.00
"5350280.00",3995.00
"5350281.01",4720.00
"5350281.02",2915.00
"5350282.00",1205.00
"5350283.01",3395.00
"5350283.02",2415.00
"5350284.00",3085.00
"5350285.00",1215.00
"5350286.00",2060.00
"5350287.02",3420.00
"5350287.03",2290.00
"5350287.04",1735.00
"5350288.00",4545.00
"5350289.00",1620.00
"5350290.01",2510.00
"5350290.02",960.00
"5350291.02",2470.00
"5350291.03",1005.00
"5350291.04",870.00
"5350292.00",5015.00
"5350293.00",3470.00
"5350294.01",2525.00
"5350294.02",3040.00
"5350295.00",3085.00
"5350296.00",10.00
"5350297.01",2915.00
"5350297.02",1760.00
"5350298.00",1180.00
"5350299.01",2235.00
"5350299.02",3515.00
"5350300.00",9170.00
"5350301.01",1555.00
"5350301.03",5555.00
"5350301.04",4920.00
"5350302.01",3450.00
"5350302.02",4255.00
"5350302.03",2450.00
"5350303.00",4165.00
"5350304.01",3110.00
"5350304.02",2635.00
"5350304.03",2175.00
"5350304.04",2660.00
"5350304.05",2130.00
"5350304.06",4325.00
"5350305.01",2630.00
"5350305.03",2990.00
"5350305.04",6710.00
"5350306.01",3525.00
"5350306.02",3615.00
"5350307.03",4265.00
"5350307.04",5055.00
"5350307.05",2925.00
"5350307.06",4535.00
"5350307.07",4625.00
"5350308.02",1395.00
"5350308.03",475.00
"5350308.04",7760.00
"5350309.00",3795.00
"5350310.01",630.00
"5350310.02",1875.00
"5350311.02",3685.00
"5350311.03",1285.00
"5350311.04",4605.00
"5350311.05",5125.00
"5350311.06",4435.00
"5350312.02",2755.00
"5350312.03",4410.00
"5350312.04",4940.00
"5350312.05",3820.00
"5350312.06",2510.00
"5350312.07",1680.00
"5350313.00",3500.00
"5350314.01",4585.00
"5350314.02",3885.00
"5350315.01",1490.00
"5350315.02",2615.00
"5350315.03",4035.00
"5350316.01",2330.00
"5350316.03",4975.00
"5350316.04",3620.00
"5350316.05",3455.00
"5350316.06",3055.00
"5350317.02",2615.00
"5350317.03",1230.00
"5350317.04",2810.00
"5350317.05",1265.00
"5350318.00",5825.00
"5350319.00",2220.00
"5350320.01",1960.00
"5350320.02",3820.00
"5350321.01",2635.00
"5350321.02",2565.00
"5350322.01",3955.00
"5350322.02",2060.00
"5350323.01",2530.00
"5350323.02",2855.00
"5350324.01",2865.00
"5350324.02",4830.00
"5350324.03",2610.00
"5350324.05",2600.00
"5350324.06",2745.00
"5350330.00",860.00
"5350331.01",2010.00
"5350331.03",5240.00
"5350331.04",1720.00
"5350332.00",5105.00
"5350333.00",1895.00
"5350334.00",620.00
"5350335.00",4055.00
"5350336.00",2755.00
"5350337.01",285.00
"5350337.02",415.00
"5350338.00",1270.00
"5350339.00",1015.00
"5350340.00",4140.00
"5350341.02",2390.00
"5350341.03",3115.00
"5350341.04",4745.00
"5350342.00",5385.00
"5350343.00",2320.00
"5350344.01",3690.00
"5350344.02",2225.00
"5350345.00",2450.00
"5350346.01",3520.00
"5350346.02",4325.00
"5350347.00",1815.00
"5350348.00",2450.00
"5350349.00",3675.00
"5350350.00",2625.00
"5350351.01",3875.00
"5350351.02",1750.00
"5350352.00",3820.00
"5350353.02",3570.00
"5350353.03",2540.00
"5350353.04",3400.00
"5350354.00",3595.00
"5350355.02",3905.00
"5350355.04",3880.00
"5350355.05",2275.00
"5350355.06",1375.00
"5350356.00",2685.00
"5350357.01",5575.00
"5350357.02",3990.00
"5350358.01",1755.00
"5350358.02",3185.00
"5350358.03",3750.00
"5350359.00",5110.00
"5350360.00",3275.00
"5350361.01",2085.00
"5350361.02",3725.00
"5350362.01",4720.00
"5350362.02",4100.00
"5350362.03",5190.00
"5350362.04",3720.00
"5350363.02",1845.00
"5350363.04",3140.00
"5350363.05",3965.00
"5350363.06",6230.00
"5350363.07",4570.00
"5350364.01",3915.00
"5350364.02",1990.00
