"COL0","COL1"
"5350000.00",2135910.00
"5350001.00",245.00
"5350002.00",270.00
"5350003.00",255.00
"5350004.00",3455.00
"5350005.00",3425.00
"5350006.00",
"5350007.01",1745.00
"5350007.02",2505.00
"5350008.01",4955.00
"5350008.02",6060.00
"5350009.00",165.00
"5350010.01",3150.00
"5350010.02",4450.00
"5350011.00",11890.00
"5350012.01",6885.00
"5350012.03",5310.00
"5350012.04",2960.00
"5350013.01",4060.00
"5350013.02",4725.00
"5350014.00",690.00
"5350015.00",2230.00
"5350016.00",6180.00
"5350017.00",4665.00
"5350018.00",1245.00
"5350019.00",1365.00
"5350020.00",1010.00
"5350021.00",2660.00
"5350022.00",1505.00
"5350023.00",1285.00
"5350024.00",2960.00
"5350025.00",1610.00
"5350026.00",2695.00
"5350027.00",1725.00
"5350028.01",685.00
"5350028.02",2840.00
"5350029.00",2960.00
"5350030.00",2195.00
"5350031.00",2765.00
"5350032.00",2640.00
"5350033.00",2735.00
"5350034.01",2270.00
"5350034.02",3055.00
"5350035.00",5710.00
"5350036.00",3270.00
"5350037.00",2115.00
"5350038.00",1635.00
"5350039.00",1710.00
"5350040.00",1790.00
"5350041.00",1450.00
"5350042.00",1965.00
"5350043.00",1705.00
"5350044.00",4630.00
"5350045.00",1470.00
"5350046.00",1330.00
"5350047.02",1950.00
"5350047.03",360.00
"5350047.04",1180.00
"5350048.00",1560.00
"5350049.00",1425.00
"5350050.01",4335.00
"5350050.03",590.00
"5350050.04",2210.00
"5350051.00",2310.00
"5350052.00",1835.00
"5350053.00",2715.00
"5350054.00",2725.00
"5350055.00",1320.00
"5350056.00",2015.00
"5350057.00",1110.00
"5350058.00",1885.00
"5350059.00",1450.00
"5350060.00",1470.00
"5350061.00",475.00
"5350062.01",3300.00
"5350062.02",5370.00
"5350063.03",3405.00
"5350063.04",2265.00
"5350063.05",2945.00
"5350063.06",3520.00
"5350064.00",2680.00
"5350065.01",1395.00
"5350065.02",5480.00
"5350066.00",4425.00
"5350067.00",810.00
"5350068.00",1205.00
"5350069.00",1890.00
"5350070.00",1710.00
"5350071.00",1405.00
"5350072.01",1865.00
"5350072.02",1260.00
"5350073.00",1010.00
"5350074.00",1600.00
"5350075.00",1760.00
"5350076.00",1940.00
"5350077.00",1905.00
"5350078.00",2855.00
"5350079.00",2890.00
"5350080.01",1430.00
"5350080.02",2015.00
"5350081.00",1075.00
"5350082.00",1030.00
"5350083.00",1820.00
"5350084.00",1500.00
"5350085.00",2075.00
"5350086.00",920.00
"5350087.00",2490.00
"5350088.00",1820.00
"5350089.00",2345.00
"5350090.00",2350.00
"5350091.01",3225.00
"5350091.02",2010.00
"5350092.00",3720.00
"5350093.00",2290.00
"5350094.00",2050.00
"5350095.00",1320.00
"5350096.01",660.00
"5350096.02",1400.00
"5350097.01",1620.00
"5350097.03",680.00
"5350097.04",2390.00
"5350098.00",3000.00
"5350099.00",3245.00
"5350100.00",1435.00
"5350101.00",1465.00
"5350102.02",2535.00
"5350102.03",2095.00
"5350102.04",285.00
"5350102.05",340.00
"5350103.00",2525.00
"5350104.00",2055.00
"5350105.00",1790.00
"5350106.00",1345.00
"5350107.00",1755.00
"5350108.00",2475.00
"5350109.00",2200.00
"5350110.00",1435.00
"5350111.00",900.00
"5350112.00",2035.00
"5350113.00",1115.00
"5350114.00",2365.00
"5350115.00",1595.00
"5350116.00",1920.00
"5350117.00",1105.00
"5350118.00",1990.00
"5350119.00",2310.00
"5350120.00",655.00
"5350121.00",1445.00
"5350122.00",3445.00
"5350123.00",1465.00
"5350124.00",3275.00
"5350125.00",1540.00
"5350126.00",1690.00
"5350127.00",2240.00
"5350128.02",4765.00
"5350128.04",2930.00
"5350128.05",305.00
"5350128.06",2520.00
"5350129.00",2625.00
"5350130.00",1280.00
"5350131.00",2360.00
"5350132.00",2035.00
"5350133.00",3405.00
"5350134.00",1035.00
"5350135.00",3055.00
"5350136.01",3780.00
"5350136.02",3200.00
"5350137.00",3505.00
"5350138.00",1180.00
"5350139.01",1825.00
"5350139.02",920.00
"5350140.00",795.00
"5350141.01",1620.00
"5350141.02",1560.00
"5350142.00",2240.00
"5350150.00",1585.00
"5350151.00",1535.00
"5350152.00",1760.00
"5350153.00",1685.00
"5350154.00",2820.00
"5350155.00",1205.00
"5350156.01",2275.00
"5350156.02",1075.00
"5350157.00",1015.00
"5350158.00",1250.00
"5350159.01",1225.00
"5350159.02",1710.00
"5350160.00",1145.00
"5350161.00",2535.00
"5350162.00",1955.00
"5350163.00",1765.00
"5350164.00",2515.00
"5350165.00",1945.00
"5350166.00",1625.00
"5350167.01",1310.00
"5350167.02",2995.00
"5350168.00",2455.00
"5350169.01",1335.00
"5350169.02",3205.00
"5350170.00",1205.00
"5350171.00",1520.00
"5350172.00",1130.00
"5350173.00",1435.00
"5350174.00",2725.00
"5350175.01",2405.00
"5350175.02",3585.00
"5350176.00",1610.00
"5350180.00",2765.00
"5350181.01",1855.00
"5350181.02",1595.00
"5350182.00",2190.00
"5350183.01",1005.00
"5350183.02",1525.00
"5350184.01",2305.00
"5350184.02",1640.00
"5350185.01",3395.00
"5350185.02",2270.00
"5350186.00",910.00
"5350187.00",1350.00
"5350188.00",795.00
"5350189.00",2180.00
"5350190.01",3505.00
"5350190.02",2030.00
"5350191.00",1780.00
"5350192.00",440.00
"5350193.00",1040.00
"5350194.01",1465.00
"5350194.02",1925.00
"5350194.03",1230.00
"5350194.04",2510.00
"5350195.01",1605.00
"5350195.02",895.00
"5350196.01",775.00
"5350196.02",2250.00
"5350200.01",3055.00
"5350200.02",645.00
"5350201.00",2775.00
"5350202.00",630.00
"5350203.00",1430.00
"5350204.00",2210.00
"5350205.00",
"5350206.01",2040.00
"5350206.02",2770.00
"5350207.00",1185.00
"5350208.00",1980.00
"5350209.00",1250.00
"5350210.01",970.00
"5350210.02",7015.00
"5350211.00",2450.00
"5350212.00",2170.00
"5350213.01",990.00
"5350213.02",3135.00
"5350214.00",2390.00
"5350215.00",2790.00
"5350216.00",2165.00
"5350217.00",2755.00
"5350218.00",1025.00
"5350219.00",1645.00
"5350220.00",1585.00
"5350221.01",2725.00
"5350221.02",2065.00
"5350222.01",2555.00
"5350222.02",1780.00
"5350223.01",530.00
"5350223.02",775.00
"5350224.00",575.00
"5350225.01",2315.00
"5350225.02",4860.00
"5350226.00",1210.00
"5350227.00",625.00
"5350228.00",1360.00
"5350229.00",385.00
"5350230.01",1085.00
"5350230.02",2610.00
"5350231.00",2565.00
"5350232.00",1305.00
"5350233.00",1985.00
"5350234.00",1600.00
"5350235.01",995.00
"5350235.02",2010.00
"5350236.01",2520.00
"5350236.02",2255.00
"5350237.01",2410.00
"5350237.02",1060.00
"5350237.03",2545.00
"5350238.01",1230.00
"5350238.02",1950.00
"5350239.00",2380.00
"5350240.01",1265.00
"5350240.02",2555.00
"5350241.00",1005.00
"5350242.00",575.00
"5350243.01",2140.00
"5350243.02",1305.00
"5350244.01",1945.00
"5350244.02",1270.00
"5350245.00",2570.00
"5350246.00",1275.00
"5350247.01",2750.00
"5350247.02",2385.00
"5350248.02",1780.00
"5350248.03",755.00
"5350248.04",1495.00
"5350248.05",1310.00
"5350249.01",1340.00
