"COL0","COL1"
"4080102.00",1220.00
"4080103.00",3020.00
"4080104.00",3165.00
"4080105.00",1645.00
"4080106.00",1625.00
"4080107.02",1490.00
"4080107.03",3515.00
"4080107.04",405.00
"4080108.00",1210.00
"4080109.00",1175.00
"4080110.00",2585.00
"4080111.03",640.00
"4080111.04",1135.00
"4080120.01",1370.00
"4080120.03",2205.00
"4080120.04",470.00
"4080120.05",640.00
"4080130.00",1810.00
"4080131.00",1840.00
"4080132.00",1390.00
"4080133.00",1710.00
"4080140.00",1930.00
"4080150.00",2540.00
"4080160.00",2970.00
"4080161.00",1100.00
"4080162.00",2925.00
"4080163.00",1305.00
"4080164.00",885.00
"4080165.00",430.00
"4080166.00",200.00
"4080167.00",1200.00
"4080168.00",310.00
"4080169.00",365.00
"4210000.00",361890.00
"4210001.01",2840.00
"4210001.02",1725.00
"4210002.00",800.00
"4210003.00",3950.00
"4210004.00",365.00
"4210005.00",2045.00
"4210006.00",2820.00
"4210007.00",1285.00
"4210008.00",865.00
"4210009.00",1305.00
"4210010.00",1415.00
"4210011.00",1030.00
"4210012.00",1370.00
"4210013.00",845.00
"4210014.00",1360.00
"4210015.00",2620.00
"4210016.00",1465.00
"4210017.00",
"4210018.00",735.00
"4210019.00",1720.00
"4210020.00",2065.00
"4210021.00",1085.00
"4210022.00",1555.00
"4210023.00",305.00
"4210024.00",645.00
"4210025.00",490.00
"4210026.00",2775.00
"4210027.00",1220.00
"4210028.00",1020.00
"4210029.00",1345.00
"4210030.00",1765.00
"4210031.00",1455.00
"4210032.00",785.00
"4210033.01",2070.00
"4210033.02",1860.00
"4210034.00",2550.00
"4210035.00",1125.00
"4210036.00",2765.00
"4210037.00",2165.00
"4210038.01",1485.00
"4210038.02",1480.00
"4210039.01",2915.00
"4210039.02",2670.00
"4210040.01",1875.00
"4210040.03",3820.00
"4210040.04",290.00
"4210041.02",4200.00
"4210041.03",470.00
"4210041.04",2560.00
"4210041.05",3690.00
"4210041.06",1625.00
"4210041.07",1050.00
"4210041.08",1155.00
"4210041.09",1180.00
"4210100.00",870.00
"4210101.00",1675.00
"4210102.00",835.00
"4210103.00",1355.00
"4210110.00",1640.00
